,media,desviacion_estandar,amplitud,frecuencia_dominante,potencia,kurtosis,rms,min_value,max_value,total_power,median_freq,f_max,WAMP,MMAV,V3,WL
1,2.0037292224077027e-05,0.11449371741469071,1.4617113753016513,449,0.013108811728928131,7.552028732882855,0.11449371916803179,-0.8056404822807076,0.6560708930209438,0.012958827197373018,93.75,82.03125,126,0.06669511023699354,2.835653805418143,338.8690522972265
1,3.975679367412671e-05,0.1644469784947194,2.9488164069288407,385,0.027042810316645346,16.270151829091116,0.16444698330053167,-1.9109194496010142,1.0378969573278263,0.0295603494858221,89.84375,70.3125,231,0.09084757722399589,4.244804987846036,372.4021359436111
1,-3.5060150881108375e-05,0.1470909500028943,2.036397233056068,349,0.021635748801968124,11.533217735567744,0.1470909541813096,-1.1453581172148226,0.8910391158412451,0.024283689412886396,89.84375,66.40625,246,0.07878785987661369,3.996533113131351,402.7693701841671
1,-7.588843939459651e-07,0.13688875482619653,2.2287339654925464,5654,0.018738531198442446,10.39914338944814,0.13688875482830007,-1.4197075203778056,0.809026445114741,0.01957728148760251,85.9375,66.40625,186,0.0763201096087188,3.4347803453776993,341.37928933585255
1,-3.7251478772709466e-05,0.15798996315390437,2.6367100983901426,310,0.024960829845044736,12.129081531168831,0.1579899675455525,-1.7785416696886938,0.8581684287014487,0.025231462309349802,89.84375,54.6875,222,0.08971777031390869,4.023073698613827,388.6896588752132
1,2.9993642921949422e-05,0.15289835132415627,1.646267792696721,217,0.023377906737263733,7.380378106600618,0.15289835426604084,-0.9586876449567322,0.6875801477399889,0.022523735490045448,89.84375,54.6875,194,0.08983893904379232,3.5847164736602353,355.3950172930877
1,3.550760245599358e-05,0.15645387083318021,2.0693849945611946,4657,0.024477814959475274,10.35174771519008,0.15645387486245035,-1.1619770358219055,0.9074079587392894,0.02486722767060428,85.9375,70.3125,185,0.08740885485009124,3.7274575829935714,313.46178264994603
1,-3.4953469921598245e-05,0.1704832146398184,2.193028355511749,204,0.02906452769567145,8.127275266255243,0.17048321822300122,-1.3830238042372844,0.8100045512744646,0.032450550704272815,93.75,46.875,258,0.09756814238313061,3.9103248489608995,370.7524551589862
1,-8.824810043252495e-06,0.16063074683658815,1.8610673982512447,4743,0.025802236907157345,8.669921417552242,0.160630747078999,-1.0767484259627549,0.7843189722884898,0.025453626090335586,89.84375,42.96875,199,0.09111193941318102,3.7345253410376116,322.91136119445304
1,1.8495660482945427e-05,0.1547507631902119,2.114774400872264,438,0.023947799050042493,10.989499149953357,0.15475076429550355,-1.172701570503993,0.9420728303682712,0.02520075829642735,85.9375,50.78125,214,0.08306653617449526,3.843508868560434,326.1206188448638
2,1.0446559177659969e-05,0.12703428545290815,1.894483564304264,5059,0.01613770978966155,8.95932163643572,0.12703428588244023,-1.093134333075404,0.8013492312288598,0.015086427401563494,89.84375,66.40625,135,0.0724161384726007,3.0547901090863143,309.1755280019619
2,6.7563455065016465e-06,0.1388106174693043,1.637834717756857,227,0.01926838756785773,7.372116017895883,0.13881061763373048,-0.9323865980454746,0.7054481197113824,0.021078434007249958,89.84375,54.6875,145,0.08098108508548961,3.0423742205029494,270.4630418487984
2,-7.488542111784563e-05,0.16450574763715384,1.9132598543186954,336,0.027062146613485237,8.754829890393554,0.16450576468162215,-1.2480483160705387,0.6652115382481567,0.028350429062612842,89.84375,89.84375,148,0.09493590873049418,3.3867176662558456,233.6057964510344
2,5.598436331347194e-05,0.1543202879319474,2.0906184720961285,265,0.023814754401648083,12.071098948439088,0.15432029808695966,-1.3194313767695394,0.7711870953265894,0.02244418043792776,97.65625,74.21875,134,0.08642333190499124,3.2979145419936313,221.23549477072453
2,3.4056529769295774e-05,0.1501807083562537,1.808485547830474,3730,0.022554246322233348,9.074691385966535,0.150180712217759,-1.11646763172538,0.6920179161050939,0.02533433172057545,85.9375,66.40625,136,0.08206708032603403,3.2564908058056266,237.42249294970986
2,-6.443908106090568e-05,0.16758906855192904,2.253640809357982,500,0.028086100050498334,9.229635093179498,0.16758908094055033,-1.1995918847142746,1.0540489246437073,0.027998397360732674,89.84375,42.96875,206,0.0955952767451717,3.78045520441067,324.06080488498014
2,8.317047679496836e-06,0.19363417266084126,2.694357947076769,213,0.037494192891221766,9.917860004209883,0.19363417283945975,-1.6071562420670558,1.0872017050097131,0.03761973608139589,93.75,42.96875,286,0.10744020902428776,4.572703376230285,395.1279738433017
2,6.4700657683420205e-06,0.15617770330980585,2.1587592133874414,411,0.024391475052987485,8.027644773581752,0.15617770344382545,-1.171800611258184,0.9869586021292573,0.022101554348990384,85.9375,46.875,205,0.08834885513020074,3.7008647577222185,363.5112988726874
2,4.2174403767368206e-05,0.1729391150329429,2.33251003499913,320,0.029907939287057785,8.792027070989445,0.17293912017544724,-1.5128825824653407,0.819627452533789,0.03091860220603039,89.84375,85.9375,261,0.08658915070751783,3.988082857226787,368.07255431125094
2,-3.359698672912553e-06,0.15775685549651156,2.0730145644100526,324,0.0248872254674348,9.100361576284454,0.15775685553228677,-1.2578072367031516,0.8152073277069009,0.024323538239977835,82.03125,50.78125,221,0.08957848399208912,3.9170001557764005,396.41735224548387
3,1.4669779478445819e-05,0.11515485223761451,1.7167205009131907,562,0.013260640209069264,9.897318247441387,0.11515485317201904,-0.8489993963785814,0.8677211045346094,0.01265684008380519,85.9375,74.21875,143,0.06445345016683168,3.1830662656334474,390.16147466698317
3,8.679389698518834e-05,0.1547009339274469,1.618329710578112,364,0.023932386491204848,7.183739589497444,0.15470095827500502,-0.9726817371001745,0.6456479734779375,0.024787125048701494,82.03125,66.40625,228,0.09074415438388114,3.608328028454105,365.2229624718345
3,-7.066125084037159e-05,0.1505018530662767,2.2900222589551773,553,0.02265081276939551,10.385084418910601,0.1505018696541525,-1.298856017538976,0.9911662414162012,0.021168313538657547,85.9375,54.6875,244,0.08508466019173863,4.074716768787358,464.65003920323534
3,7.5123138651490006e-06,0.15893653046077053,1.9773600040419685,5566,0.025260820771342292,8.271207189531244,0.15893653063830948,-1.2284050287055068,0.7489549753364616,0.02575131146486013,82.03125,66.40625,246,0.0909467261733525,3.8922742661652854,386.3751230161608
3,2.6583154832171108e-05,0.15707631306577147,2.1258658108329564,434,0.024672968833000367,9.789761137405558,0.15707631531520075,-1.2363698327662234,0.889495978066733,0.024231832079051288,89.84375,54.6875,180,0.08851743273071798,3.6973899019023015,326.2787295104067
