,media,desviacion_estandar,amplitud,frecuencia_dominante,potencia,kurtosis,rms,min_value,max_value,total_power,median_freq,f_max,WAMP
1,1.2168539155898902e-06,0.0667076205865321,0.7449119596721326,5729,0.004449906645797455,6.230134930373589,0.06670762059763079,-0.37356405234589735,0.3713479073262353,0.0046672407200790775,101.5625,46.875,0
1,-7.363291518968798e-07,0.06852632260372454,0.9338787712887837,327,0.004695856890131911,8.841332020362168,0.06852632260768056,-0.40052430673637657,0.5333544645524071,0.0046996941782273555,89.84375,46.875,0
1,-2.835227953956243e-06,0.06844411102852194,0.8378683518123256,258,0.004684596342523156,8.339833252258028,0.06844411108724516,-0.4275113545093412,0.4103569973029844,0.0046923897818216456,82.03125,54.6875,0
1,-5.616214816595327e-06,0.07080050391296812,0.8849339009308927,5671,0.005012711385872081,8.229706382467372,0.07080050413571984,-0.3881144558411574,0.4968194450897354,0.004770349221885398,78.125,50.78125,0
1,-1.2307568058606004e-05,0.08126583905600733,1.2147633617975955,372,0.006604136748953118,12.489056242280926,0.08126583998798707,-0.556545457440056,0.6582179043575395,0.006905373149245354,93.75,54.6875,0
2,-1.025177150094046e-05,0.05565606495460114,0.5854547071151361,289,0.0030975976713296,5.213680186375311,0.05565606589878232,-0.3057799546536025,0.2796747524615336,0.003005667021549778,101.5625,58.59375,0
2,-8.111183359417961e-06,0.07711090576129244,0.9046268048613271,4790,0.005946091853118219,6.9464633059991705,0.0771109061878942,-0.4031489285064257,0.5014778763549014,0.005478298141823259,85.9375,58.59375,0
2,-2.8070891922972962e-05,0.08370566838208832,0.9349913548347276,238,0.007006639707267112,6.465191006756562,0.08370567308890785,-0.4478775905921274,0.4871137642426002,0.007473702502406988,78.125,54.6875,0
2,1.6018737345670064e-05,0.08021420906286572,1.2679691017339705,286,0.006434319592181074,10.973411153756002,0.08021421066233261,-0.6104215342093869,0.6575475675245837,0.0064886356996599935,74.21875,54.6875,0
2,2.0465549890207226e-05,0.07611152680357221,1.0069334502870317,6218,0.005792964931209624,12.167336346522394,0.07611152955505246,-0.49277068195080476,0.5141627683362269,0.005646020252215621,78.125,42.96875,0
3,9.837756015748517e-06,0.06688601427182184,0.95813417753987,5681,0.004473739001951797,8.395392666820076,0.06688601499530225,-0.3254135431448604,0.6327206343950096,0.0043973366078096186,82.03125,46.875,0
3,4.221601624596144e-06,0.07725846035877194,1.173501600755268,317,0.005968869714829855,9.717313984993938,0.07725846047411154,-0.5861675986150484,0.5873340021402198,0.005865789009833535,74.21875,46.875,0
3,-2.5647651584544807e-05,0.07074031072875847,1.0862907153885852,454,0.005004192219803331,9.608873784761942,0.07074031537817266,-0.4800620364064926,0.6062286789820928,0.004719656679547215,85.9375,50.78125,0
3,2.84717458635113e-05,0.07009664573102987,0.8743932098645311,279,0.0049135405533818205,7.56529644628914,0.07009665151333422,-0.3713704556447048,0.5030227542198262,0.0049686401811159416,85.9375,54.6875,0
3,-1.8554538986644045e-05,0.08121127112510367,1.5340575127636455,464,0.006595270902026015,15.396776466214435,0.08121127324470424,-0.6715032279127939,0.8625542848508515,0.006298645232807313,85.9375,54.6875,1
4,2.8923521255586096e-05,0.06037975644507436,0.8952377999379993,301,0.0036457158249365803,11.342987996063867,0.060379763372644814,-0.33535997248865745,0.5598778274493419,0.003989557400150527,89.84375,50.78125,0
4,-2.7259034250267716e-05,0.06628750920857733,0.9966402080357324,7566,0.004394034620132172,8.57867729974959,0.06628751481336566,-0.40210984630763186,0.5945303617281006,0.004177680652508332,74.21875,54.6875,0
4,1.8467269349582797e-05,0.07153410420032398,1.116204084536705,355,0.005117128404782846,10.35408671101081,0.0715341065840823,-0.5267704604960537,0.5894336240406511,0.004843620546977687,78.125,42.96875,0
4,-4.079904558405249e-05,0.0772542428678603,0.9334607358998201,7489,0.0059682197056484644,7.1991665412582835,0.0772542536411327,-0.4196562073456008,0.5138045285542194,0.006307310599721876,74.21875,50.78125,0
