Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-1.314e-01,2.16
-1.312e-01,2.08
-1.310e-01,2.08
-1.309e-01,2
-1.307e-01,2
-1.306e-01,2
-1.304e-01,1.92
-1.302e-01,1.92
-1.301e-01,1.92
-1.299e-01,1.92
-1.298e-01,1.92
-1.296e-01,1.84
-1.294e-01,1.84
-1.293e-01,1.84
-1.291e-01,1.84
-1.290e-01,1.76
-1.288e-01,1.68
-1.286e-01,1.68
-1.285e-01,1.68
-1.283e-01,1.68
-1.282e-01,1.68
-1.280e-01,1.6
-1.278e-01,1.6
-1.277e-01,1.6
-1.275e-01,1.6
-1.274e-01,1.6
-1.272e-01,1.52
-1.270e-01,1.52
-1.269e-01,1.44
-1.267e-01,1.44
-1.266e-01,1.44
-1.264e-01,1.44
-1.262e-01,1.36
-1.261e-01,1.36
-1.259e-01,1.28
-1.258e-01,1.28
-1.256e-01,1.28
-1.254e-01,1.28
-1.253e-01,1.28
-1.251e-01,1.28
-1.250e-01,1.2
-1.248e-01,1.2
-1.246e-01,1.12
-1.245e-01,1.12
-1.243e-01,1.12
-1.242e-01,1.12
-1.240e-01,1.12
-1.238e-01,1.04
-1.237e-01,1.04
-1.235e-01,1.04
-1.234e-01,1.04
-1.232e-01,0.96
-1.230e-01,0.96
-1.229e-01,0.96
-1.227e-01,0.96
-1.226e-01,0.88
-1.224e-01,0.96
-1.222e-01,0.88
-1.221e-01,0.88
-1.219e-01,0.88
-1.218e-01,0.8
-1.216e-01,0.8
-1.214e-01,0.8
-1.213e-01,0.8
-1.211e-01,0.8
-1.210e-01,0.72
-1.208e-01,0.72
-1.206e-01,0.64
-1.205e-01,0.64
-1.203e-01,0.64
-1.202e-01,0.64
-1.200e-01,0.64
-1.198e-01,0.64
-1.197e-01,0.56
-1.195e-01,0.56
-1.194e-01,0.56
-1.192e-01,0.56
-1.190e-01,0.48
-1.189e-01,0.56
-1.187e-01,0.48
-1.186e-01,0.48
-1.184e-01,0.48
-1.182e-01,0.48
-1.181e-01,0.48
-1.179e-01,0.4
-1.178e-01,0.4
-1.176e-01,0.4
-1.174e-01,0.32
-1.173e-01,0.32
-1.171e-01,0.4
-1.170e-01,0.4
-1.168e-01,0.32
-1.166e-01,0.32
-1.165e-01,0.32
-1.163e-01,0.32
-1.162e-01,0.32
-1.160e-01,0.32
-1.158e-01,0.24
-1.157e-01,0.24
-1.155e-01,0.24
